,gid,2030val,layer,geometry
91,ㅼ궗599478,34.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0461570149528 37.52863573939845, 127.0461515538487 37.52953707326837, 127.0472833130881 37.52954141716996, 127.0472887605749 37.52864008315948, 127.0461570149528 37.52863573939845)))"
92,ㅼ궗586455,100.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0315739518394 37.50784760911904, 127.0315683194863 37.5087489443179, 127.0326997624773 37.50875342586989, 127.0327053812273 37.507852090526, 127.0315739518394 37.50784760911904)))"
93,ㅼ궗605456,147.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0530657785261 37.50883224065898, 127.0530604043944 37.50973357841522, 127.054191865641 37.50973785419993, 127.0541972261689 37.5088365163053, 127.0530657785261 37.50883224065898)))"
94,ㅼ궗601421,152.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.048729837259 37.47726814044908, 127.0487244171678 37.47816948249697, 127.049855401678 37.47817379674121, 127.0498608081865 37.47727245455363, 127.048729837259 37.47726814044908)))"
95,ㅼ궗604448,104.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0519774243695 37.5016172482479, 127.0519720385534 37.50251858697373, 127.0531033907463 37.50252287248619, 127.0531087629633 37.50162153362165, 127.0519774243695 37.5016172482479)))"
96,ㅼ궗611445,7.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0599126699839 37.49894299844213, 127.0599073800683 37.49984433854711, 127.061038693128 37.49984854780742, 127.0610439694462 37.49894720756618, 127.0599126699839 37.49894299844213)))"
97,ㅼ궗601422,44.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0487244171678 37.47816948249697, 127.0487189968353 37.47907082440636, 127.0498499949287 37.47907513879027, 127.049855401678 37.47817379674121, 127.0487244171678 37.47816948249697)))"
98,ㅼ궗602438,202.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0497688647853 37.49259525290406, 127.0497634541816 37.49349659273679, 127.050894669931 37.49350089852476, 127.0509000669417 37.49259955855266, 127.0497688647853 37.49259525290406)))"
99,ㅼ궗620446,62.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0700892060154 37.49988183187433, 127.070084038246 37.50078317305442, 127.0712153669971 37.50078728494384, 127.0712205211684 37.49988594363065, 127.0700892060154 37.49988183187433)))"
100,ㅼ궗591459,156.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0372088424383 37.5114752506373, 127.0372032771092 37.51237658600353, 127.0383347757643 37.51238101394328, 127.0383403274877 37.51147967843375, 127.0372088424383 37.5114752506373)))"
101,ㅼ궗588444,28.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0338984510066 37.49794186157441, 127.0338928486053 37.49884319858752, 127.0350241424953 37.49884765687774, 127.0350297313001 37.49794631972033, 127.0338984510066 37.49794186157441)))"
102,ㅼ궗585440,105.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0305271818746 37.49432307444116, 127.0305215396894 37.49522441157362, 127.0316527784468 37.49522890178208, 127.0316584070381 37.49432756450429, 127.0305271818746 37.49432307444116)))"
103,ㅼ궗629427,185.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0803668702694 37.48279291641782, 127.0803618291506 37.48369426141355, 127.0814929016853 37.48369827332699, 127.0814979292174 37.48279692820139, 127.0803668702694 37.48279291641782)))"
104,ㅼ궗633440,91.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0848262620358 37.49452637946251, 127.0848212723753 37.49542772317609, 127.0859525224838 37.49543169344974, 127.0859574985498 37.49453034960763, 127.0848262620358 37.49452637946251)))"
106,ㅼ궗629434,125.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0803315777223 37.48910232848078, 127.0803265350315 37.49000367250746, 127.0814577026895 37.49000768533014, 127.0814627317894 37.48910634117356, 127.0803315777223 37.48910232848078)))"
107,ㅼ궗608444,142.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0565241034829 37.498028966237, 127.0565187730129 37.49893030606965, 127.0576500717666 37.49893454769386, 127.0576553886399 37.49803320772391, 127.0565241034829 37.498028966237)))"
109,ㅼ궗604424,11.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0521066120153 37.47998507727009, 127.0521012319534 37.48088641932046, 127.0532322579359 37.48089070150476, 127.0532376244133 37.47998935931578, 127.0521066120153 37.47998507727009)))"
110,ㅼ궗579475,44.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0235393532055 37.52584259297596, 127.0235336205262 37.52674392437685, 127.0246653339358 37.52674848473895, 127.0246710529999 37.52584715319048, 127.0235393532055 37.52584259297596)))"
111,ㅼ궗634428,152.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0860171940574 37.48371421270509, 127.0860122206503 37.4846155582083, 127.087143307886 37.48461951611199, 127.0871482677057 37.48371817048066, 127.0860171940574 37.48371421270509)))"
112,ㅼ궗582478,74.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0269173770903 37.52856023620021, 127.0269116844958 37.52946156762683, 127.028043439517 37.52946609589637, 127.0280491184946 37.52856476432322, 127.0269173770903 37.52856023620021)))"
113,ㅼ궗625440,125.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0757763779755 37.49449422835773, 127.0757712795591 37.49539557103056, 127.0769025278727 37.49539962796112, 127.0769076126946 37.49449828515696, 127.0757763779755 37.49449422835773)))"
114,ㅼ궗594444,170.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0406861364895 37.49796844795656, 127.0406806156671 37.49886978583026, 127.0418119110417 37.49887417912099, 127.0418174182675 37.49797284110507, 127.0406861364895 37.49796844795656)))"
115,ㅼ궗603450,99.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0508352869447 37.50341562907474, 127.0508298870485 37.50431696738443, 127.0519612662014 37.50432126400978, 127.0519666524974 37.50341992556102, 127.0508352869447 37.50341562907474)))"
116,ㅼ궗587444,448.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0327671709626 37.49793739259562, 127.0327615549649 37.49883872946406, 127.0338928486053 37.49884319858752, 127.0338984510066 37.49794186157441, 127.0327671709626 37.49793739259562)))"
117,ㅼ궗647425,30.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.1007355575763 37.48106077697863, 127.1007307614455 37.48196212453531, 127.1018618107454 37.48196594130454, 127.1018665932906 37.4810645936243, 127.1007355575763 37.48106077697863)))"
118,ㅼ궗605451,253.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0530926455943 37.50432554979967, 127.0530872726594 37.50522688824861, 127.0542186658925 37.50523116334141, 127.0542240252265 37.50432982475411, 127.0530926455943 37.50432554979967)))"
