gid,acci_cnt,2030val,신호등,버스저녁하차,생활서비스,소매점,음식점,퇴근시간자전거
다사577436,1,101,4,0,4,3,2,116
다사611438,0,74,1,0,0,0,0,116
다사611439,0,51,4,0,13,6,25,116
다사610394,0,0,5,98.08333333,0,1,6,116
다사594465,0,0,16,0,9,15,19,116
다사583430,0,0,4,0,2,1,5,116
다사579431,0,0,1,0,1,2,0,116
다사610427,0,0,3,0,0,4,1,116
다사612438,0,0,2,0,0,2,14,116
다사574446,0,123,7,274.0833333,1,0,0,117
다사543422,0,72,1,0,1,0,13,117
다사609437,0,0,4,199.9166667,0,0,3,117
다사542422,0,0,4,0,2,2,14,117
다사542423,0,0,4,0,2,0,4,117
다사601446,0,0,4,0,0,0,0,117
다사596414,0,15,1,0,0,0,2,118
다사563436,0,0,6,716.25,0,0,0,118
다사615446,0,145,4,0,3,0,1,119
다사569456,0,95,1,0,0,0,1,119
다사607392,0,47,3,0,0,0,0,119
다사569455,0,47,3,0,0,0,0,119
다사563440,0,0,3,929.5555556,0,0,0,119
다사567451,0,0,11,0,0,1,0,119
다사566451,0,0,7,0,0,0,3,119
다사617441,0,137,2,761.8571429,1,0,1,121
다사626438,0,0,4,0,0,0,0,121
다사543427,0,141,2,0,5,2,3,122
다사580439,0,89,4,0,0,0,0,122
다사542425,0,17,6,0,4,5,4,122
다사542427,0,8,7,0,4,4,5,122
다사553430,0,0,5,3115.333333,2,7,7,122
다사596448,0,118,2,0,4,3,9,123
다사576449,0,66,4,0,0,1,0,123
다사570433,0,39,6,297,5,4,12,123
다사590448,1,0,4,3865.243243,10,7,8,123
다사575449,0,0,3,1125.527778,0,0,0,123
다사584415,0,0,2,27,0,0,0,123
다사571433,0,0,6,0,4,4,6,123
다사584416,0,0,5,0,0,0,0,123
다사606390,0,156,5,0,0,0,0,124
다사591464,0,0,1,0,8,2,22,124
다사609456,0,0,4,0,3,2,4,124
다사609457,0,0,6,0,1,2,12,124
다사595449,0,0,7,0,0,0,0,124
다사612426,0,185,5,0,6,8,17,125
다사568446,0,12,4,1986.027778,8,3,5,125
다사604447,0,7,4,0,3,8,14,125
다사618444,0,0,3,1568.333333,4,4,9,125
다사600466,0,0,4,1554.261905,0,0,0,125
다사599466,0,0,7,0,2,4,5,125
