,gid,2030val
1122,다사652418,28.0
1123,다사603457,37.0
1124,다사582482,107.0
1125,다사597468,61.0
1126,다사607443,89.0
1127,다사601470,35.0
1128,다사603447,63.0
1129,다사599477,39.0
1130,다사606441,76.0
1131,다사613444,118.0
1132,다사599449,0.0
1133,다사602429,62.0
1134,다사592462,40.0
1135,다사580465,87.0
1136,다사594459,112.0
1137,다사597467,90.0
1138,다사598453,163.0
1139,다사602471,163.0
1140,다사585475,9.0
1141,다사609444,13.0
1142,다사588429,169.0
1143,다사617437,74.0
1144,다사630434,69.0
1145,다사591452,122.0
1146,다사615464,106.0
1147,다사586446,47.0
1148,다사598431,52.0
1149,다사599471,97.0
1150,다사634429,260.0
1151,다사649435,45.0
1152,다사614461,9.0
1153,다사592456,159.0
1154,다사597428,7.0
1155,다사610437,91.0
1156,다사613432,63.0
1157,다사596458,28.0
1158,다사592469,64.0
1159,다사598462,104.0
1160,다사615425,165.0
1161,다사600460,88.0
1162,다사587453,63.0
1163,다사604423,55.0
1164,다사610435,38.0
1165,다사583478,111.0
1166,다사607450,91.0
1167,다사613464,115.0
1168,다사582459,217.0
1169,다사584442,250.0
1170,다사627426,17.0
1171,다사627436,48.0
1172,다사578460,66.0
1173,다사590434,64.0
1174,다사599459,38.0
1175,다사640408,91.0
1176,다사577470,64.0
1177,다사589448,6.0
1178,다사598424,40.0
1179,다사600444,36.0
1180,다사604443,0.0
1181,다사651417,420.0
1182,다사594441,108.0
1183,다사582456,162.0
1184,다사605444,43.0
1185,다사581468,35.0
1186,다사582457,138.0
1187,다사589436,51.0
1188,다사649417,362.0
1189,다사643410,31.0
1190,다사609463,0.0
1191,다사654418,62.0
1192,다사580460,55.0
1193,다사615457,0.0
1194,다사602430,54.0
1195,다사657415,0.0
1196,다사585453,65.0
1197,다사641408,78.0
1198,다사622434,212.0
1199,다사606427,119.0
1200,다사646406,95.0
1201,다사581450,83.0
1202,다사587451,32.0
1203,다사605420,45.0
1204,다사609436,87.0
1205,다사596478,118.0
1206,다사587432,116.0
1207,다사593444,79.0
1208,다사652411,42.0
1209,다사605452,223.0
1210,다사633428,151.0
1211,다사608435,103.0
1212,다사628436,141.0
1213,다사600475,23.0
1214,다사584440,36.0
1215,다사590461,22.0
1216,다사609445,137.0
1217,다사580467,31.0
1218,다사595452,114.0
1219,다사584446,0.0
1220,다사609452,43.0
1221,다사614466,150.0
1222,다사584460,40.0
1223,다사605475,110.0
1224,다사607439,98.0
1225,다사581461,19.0
1226,다사589481,167.0
1227,다사603441,93.0
1228,다사617440,161.0
1229,다사586435,0.0
1230,다사605476,114.0
1231,다사595457,53.0
1232,다사639424,91.0
1233,다사592461,79.0
