,gid,COUNT
1352,다사564469,187
1353,다사564470,187
1354,다사564471,362
1355,다사564472,175
1356,다사564473,175
1357,다사565398,1
1358,다사565399,1
1359,다사565400,1
1360,다사565401,0
1361,다사565402,0
1362,다사565403,0
1363,다사565404,0
1364,다사565405,0
1365,다사565406,0
1366,다사565407,1
1367,다사565408,1
1368,다사565409,2
1369,다사565410,3
1370,다사565411,2
1371,다사565412,3
1372,다사565413,2
1373,다사565414,3
1374,다사565415,2
1375,다사565416,2
1376,다사565417,6
1377,다사565418,5
1378,다사565419,15
1379,다사565420,14
1380,다사565421,24
1381,다사565422,20
1382,다사565423,16
1383,다사565424,27
1384,다사565425,17
1385,다사565426,40
1386,다사565427,34
1387,다사565428,83
1388,다사565429,72
1389,다사565430,71
1390,다사565431,111
1391,다사565432,62
1392,다사565433,116
1393,다사565434,94
1394,다사565435,165
1395,다사565436,189
1396,다사565437,135
1397,다사565438,192
1398,다사565439,121
1399,다사565440,176
1400,다사565441,155
1401,다사565442,98
1402,다사565443,157
1403,다사565444,102
1404,다사565445,170
1405,다사565446,127
1406,다사565447,222
1407,다사565448,282
1408,다사565449,214
1409,다사565450,357
1410,다사565451,262
1411,다사565452,399
1412,다사565453,280
1413,다사565454,478
1414,다사565455,487
1415,다사565456,350
1416,다사565457,624
1417,다사565458,426
1418,다사565459,628
1419,다사565460,476
1420,다사565461,951
1421,다사565462,1055
1422,다사565463,853
1423,다사565464,1336
1424,다사565465,861
1425,다사565466,1273
1426,다사565467,1082
1427,다사565468,599
1428,다사565469,978
1429,다사565470,566
1430,다사565471,741
1431,다사565472,554
1432,다사565473,335
1433,다사565474,1480
1434,다사565475,565
1435,다사566397,1
1436,다사566398,1
1437,다사566399,1
1438,다사566400,1
1439,다사566401,0
1440,다사566402,0
1441,다사566403,0
1442,다사566404,0
1443,다사566405,0
1444,다사566406,0
1445,다사566407,1
1446,다사566408,1
1447,다사566409,1
1448,다사566410,2
1449,다사566411,1
1450,다사566412,1
1451,다사566413,1
1452,다사566414,2
1453,다사566415,1
1454,다사566416,1
1455,다사566417,5
1456,다사566418,4
1457,다사566419,4
1458,다사566420,4
1459,다사566421,14
1460,다사566422,10
1461,다사566423,10
1462,다사566424,21
1463,다사566425,11
1464,다사566426,11
1465,다사566427,11
1466,다사566428,60
1467,다사566429,49
1468,다사566430,49
1469,다사566431,89
1470,다사566432,40
1471,다사566433,40
1472,다사566434,40
1473,다사566435,111
1474,다사566436,71
1475,다사566437,71
1476,다사566438,128
1477,다사566439,57
1478,다사566440,57
1479,다사566441,100
1480,다사566442,43
1481,다사566443,43
1482,다사566444,43
1483,다사566445,111
1484,다사566446,68
1485,다사566447,68
1486,다사566448,187
1487,다사566449,119
